"domain","Predictor","param1","p1_0","p1_val","param2","p2_0","p2_val","param3","p3_0","p3_val","Fixed_Effect","AIC","BIC","R_squared","Log_Likelihood","N_Observations","R_squared_CI_lower","R_squared_CI_upper"
"occupations","delta","rise","0","0","fall","0","0",NA,NA,NA,0.266552453430443,939.692493786421,961.953594914017,0.210398372612894,-465.846246893211,1930,0.202442267391412,0.270675868465133
"occupations","delta","rise","0","0","fall","0","25",NA,NA,NA,0.262916955372255,952.127224731217,974.388325858813,0.205625418186998,-472.063612365609,1930,0.197331397885167,0.263240940760243
"occupations","delta","rise","0","0","fall","0","5",NA,NA,NA,0.269032612706921,946.365911955723,968.627013083319,0.212710641641986,-469.182955977862,1930,0.205690525298176,0.26984875258757
"occupations","delta","rise","0","0","fall","0","75",NA,NA,NA,0.253564051853775,1004.14997996879,1026.41108109638,0.184673265616443,-498.074989984394,1930,0.17878289541621,0.239247868772966
"occupations","delta","rise","0","0","fall","1","0",NA,NA,NA,0.236777818209786,1064.17732843549,1086.43842956309,0.156708768711373,-528.088664217745,1930,0.152161087443814,0.214748692340222
"occupations","delta","rise","0","25","fall","0","0",NA,NA,NA,0.282658401455418,897.949094150197,920.210195277792,0.228743985613868,-444.974547075098,1930,0.222712151458017,0.287937765459757
"occupations","delta","rise","0","25","fall","0","25",NA,NA,NA,0.278739168912349,906.680387858262,928.941488985858,0.226167486922039,-449.340193929131,1930,0.219353735390316,0.283245805426144
"occupations","delta","rise","0","25","fall","0","5",NA,NA,NA,0.283093757988028,898.15473112784,920.415832255435,0.235747683690244,-445.07736556392,1930,0.229652613579287,0.296220063740422
"occupations","delta","rise","0","25","fall","0","75",NA,NA,NA,0.263654705523869,965.146033553431,987.407134681027,0.204282232101575,-478.573016776716,1930,0.196986944331239,0.264013166933974
"occupations","delta","rise","0","25","fall","1","0",NA,NA,NA,0.237265887673386,1050.83003467469,1073.09113580229,0.166139584526692,-521.415017337347,1930,0.160550778731345,0.223592814780032
"occupations","delta","rise","0","5","fall","0","0",NA,NA,NA,0.308107885052748,840.974643645378,863.235744772974,0.252240166225756,-416.487321822689,1930,0.242033488310052,0.310045284435782
